iobj iorder X Lambda Mask
018 00 1247.670 6151.9929 1
018 00 1275.170 6154.0682 1
018 00 1280.940 6154.5162 1
018 00 1290.820 6155.2385 1
018 00 1295.110 6155.5810 1
018 00 1315.200 6157.0878 1
018 00 1372.520 6161.3534 1
018 00 1383.690 6162.1700 1
018 00 1414.890 6164.4796 1
018 00 1487.780 6169.8221 1
018 00 1492.960 6170.1740 0
018 00 1521.550 6172.2778 1
018 00 1532.920 6173.0964 1
018 00 1606.950 6178.4315 1
018 00 1627.220 6179.8488 0
018 00 1638.780 6180.7050 1
018 00 1665.840 6182.6217 1
018 00 1729.700 6187.1350 1
018 00 1743.940 6188.1251 1
018 00 1758.340 6189.1449 0
018 00 1798.220 6191.9053 1
018 00 1826.420 6193.8563 1
018 00 1848.110 6195.3210 0
018 00 1863.430 6196.3965 1
018 00 1890.090 6198.2227 1
018 00 1922.800 6200.4325 0
018 00 1932.380 6201.1002 1
018 00 1967.890 6203.4925 1
018 00 1977.230 6204.1281 1
018 00 1994.190 6205.2561 1
018 00 2003.250 6205.8599 1
018 00 2023.600 6207.2201 1
018 00 2031.490 6207.7504 1
019 00  775.330 6114.9234 1
019 00 1075.940 6138.6465 1
019 00 1164.170 6145.4411 1
019 00 1233.150 6150.6830 1
019 00 1250.440 6151.9929 1
019 00 1277.990 6154.0682 1
019 00 1283.800 6154.5162 1
019 00 1293.620 6155.2385 1
019 00 1297.940 6155.5810 0
019 00 1318.080 6157.0878 1
019 00 1375.430 6161.3534 1
019 00 1386.760 6162.1700 0
019 00 1417.830 6164.4796 1
019 00 1490.750 6169.8221 1
019 00 1495.790 6170.1740 0
019 00 1524.580 6172.2778 1
019 00 1535.890 6173.0964 1
019 00 1610.040 6178.4315 1
019 00 1630.150 6179.8488 0
019 00 1641.920 6180.7050 1
019 00 1668.950 6182.6217 1
019 00 1732.950 6187.1350 1
019 00 1747.130 6188.1251 1
019 00 1761.750 6189.1449 1
019 00 1801.550 6191.9053 1
019 00 1829.730 6193.8563 1
019 00 1851.050 6195.3210 1
019 00 1866.890 6196.3965 1
019 00 1893.490 6198.2227 1
019 00 1926.040 6200.4325 1
019 00 1935.930 6201.1002 1
019 00 1971.330 6203.4925 1
019 00 1980.800 6204.1281 1
019 00 1997.700 6205.2561 1
019 00 2006.740 6205.8599 1
019 00 2027.050 6207.2201 1
019 00 2035.250 6207.7504 1
020 00 1080.550 6138.6465 1
020 00 1168.980 6145.2833 0
020 00 1238.070 6150.6830 1
020 00 1255.370 6151.9929 1
020 00 1282.930 6154.0682 1
020 00 1288.700 6154.5162 1
020 00 1302.920 6155.5810 1
020 00 1323.040 6157.0878 1
020 00 1380.520 6161.3534 1
020 00 1391.890 6162.1700 0
020 00 1422.920 6164.4796 1
020 00 1495.970 6169.8221 1
020 00 1501.030 6170.1740 1
020 00 1529.810 6172.2778 1
020 00 1541.110 6173.0964 1
020 00 1615.450 6178.4315 1
020 00 1635.660 6179.8488 0
020 00 1647.350 6180.7050 1
020 00 1674.420 6182.6217 1
020 00 1738.750 6187.1350 1
020 00 1752.760 6188.1251 1
020 00 1767.330 6189.1449 1
020 00 1807.230 6191.9053 1
020 00 1835.470 6193.8563 1
020 00 1857.010 6195.3210 1
020 00 1872.530 6196.3965 1
020 00 1899.260 6198.2227 1
020 00 1931.850 6200.4325 1
020 00 1941.770 6201.1002 1
020 00 1977.300 6203.4925 1
020 00 1986.570 6204.1281 1
020 00 2003.370 6205.2561 0
020 00 2012.810 6205.8599 1
020 00 2033.110 6207.2201 1
020 00 2041.400 6207.7504 1
021 00 1087.030 6138.6465 1
021 00 1175.570 6145.4411 1
021 00 1244.800 6150.6830 1
021 00 1262.140 6151.9929 1
021 00 1289.750 6154.0682 1
021 00 1295.560 6154.5162 1
021 00 1305.360 6155.2385 1
021 00 1309.790 6155.5810 1
021 00 1329.980 6157.0878 1
021 00 1387.480 6161.3534 1
021 00 1398.890 6162.1700 0
021 00 1409.680 6162.9699 0
021 00 1430.000 6164.4796 1
021 00 1503.190 6169.8221 1
021 00 1508.020 6170.1740 1
021 00 1537.120 6172.2778 1
021 00 1548.510 6173.0964 1
021 00 1622.900 6178.4315 1
021 00 1643.100 6179.8488 0
021 00 1654.880 6180.7050 1
021 00 1681.990 6182.6217 1
021 00 1746.430 6187.1350 1
021 00 1760.570 6188.1251 1
021 00 1775.040 6189.1449 0
021 00 1815.050 6191.9053 1
021 00 1843.330 6193.8563 1
021 00 1864.920 6195.3210 1
021 00 1880.540 6196.3965 1
021 00 1907.410 6198.2227 1
021 00 1940.130 6200.4325 1
021 00 1949.900 6201.1002 1
021 00 1985.540 6203.4925 1
021 00 1995.310 6204.1281 0
021 00 2011.840 6205.2561 1
021 00 2021.070 6205.8599 1
021 00 2041.520 6207.2201 1
022 00 1090.740 6138.6465 1
022 00 1179.320 6145.2833 0
022 00 1248.670 6150.6830 1
022 00 1265.960 6151.9929 1
022 00 1293.630 6154.0682 1
022 00 1299.440 6154.5162 1
022 00 1309.290 6155.2385 1
022 00 1313.710 6155.5810 1
022 00 1333.990 6157.0878 1
022 00 1391.510 6161.3534 1
022 00 1402.980 6162.1700 0
022 00 1434.030 6164.4796 1
022 00 1507.280 6169.8221 1
022 00 1512.000 6170.1740 1
022 00 1541.280 6172.2778 1
022 00 1552.700 6173.0964 1
022 00 1627.190 6178.4315 1
022 00 1647.430 6179.8488 0
022 00 1659.230 6180.7050 1
022 00 1686.340 6182.6217 1
022 00 1750.670 6187.1350 1
022 00 1764.940 6188.1251 1
022 00 1779.640 6189.1449 1
022 00 1819.650 6191.9053 1
022 00 1847.880 6193.8563 1
022 00 1869.150 6195.3210 1
022 00 1885.160 6196.3965 1
